>>>>>>>>>> seqidArray
NT_187571.1: 25
NT_187569.1: 4
NW_003315928.1: 1
NW_003315929.1: 2
NW_003315930.1: 4
NW_003315931.1: 2
NT_187578.1: 10
NW_003315934.1: 8
NT_187579.1: 5
NW_003315935.1: 9
NT_187580.1: 6
NT_187586.1: 18
NT_187584.1: 10
NT_187585.1: 15
NT_187583.1: 10
NW_003871073.1: 16
NW_003871074.1: 11
NT_187582.1: 2
NT_187581.1: 1
NW_003571049.1: 7
NW_003571050.1: 28
NT_187588.1: 1
NT_187587.1: 11
NW_003315939.2: 7
NW_003315941.1: 3
NW_003315942.2: 4
NT_187590.1: 2
NW_003315940.1: 4
NT_187589.1: 2
NT_187594.1: 12
NT_187593.1: 1
NT_187592.1: 10
NT_187596.1: 3
NT_187598.1: 6
NT_187601.1: 35
NT_187599.1: 3
NT_187600.1: 205
NT_187602.1: 22
NT_187604.1: 13
NT_187603.1: 11
NW_003315943.1: 19
NT_187605.1: 7
NW_003315944.2: 3
NT_187606.1: 22
NT_187610.1: 4
NT_187609.1: 3
NT_187608.1: 10
NT_187607.1: 71
NW_003315945.1: 3
NW_003315946.1: 3
NW_003315952.3: 13
NT_187613.1: 12
NT_187611.1: 11
NT_187614.1: 113
NW_003871091.1: 26
NW_003871092.1: 8
NW_003315953.2: 12
NT_167251.2: 48
NT_187615.1: 1
NW_003315955.1: 4
NT_187612.1: 4
NW_003315956.1: 5
NW_003315959.1: 1
NW_003315960.1: 1
NW_003315958.1: 3
NW_003315961.1: 4
NT_187617.1: 3
NT_187622.1: 5
NT_187621.1: 1
NW_003315962.1: 16
NW_003315964.2: 8
NW_003315965.1: 9
NW_003315963.1: 3
NT_187619.1: 2
NT_187620.1: 13
NW_003571054.1: 57
NW_003315966.2: 1
NT_187623.1: 4
NT_187625.1: 3
NT_187624.1: 5
NT_187628.1: 3
NT_187627.1: 3
NW_003315968.2: 4
NW_003315969.2: 3
NW_003315970.2: 5
NT_187626.1: 5
NT_187629.1: 15
NT_187632.1: 7
NT_187633.1: 26
NT_187630.1: 5
NT_187631.1: 3
NW_003315972.2: 2
NW_003315971.2: 9
NT_187634.1: 5
NT_187635.1: 1
NT_187646.1: 10
NT_187648.1: 5
NT_187647.1: 6
NT_187649.1: 9
NT_187650.1: 13
NT_187651.1: 32
NT_187652.1: 4
NT_113891.3: 385
NT_187653.1: 11
NT_187655.1: 1
NT_187654.1: 5
NT_187656.1: 3
NT_187657.1: 12
NT_187658.1: 33
NT_187659.1: 10
NT_187660.1: 124
NT_187662.1: 2
NT_187664.1: 7
NT_187661.1: 23
NW_003871093.1: 9
NT_187663.1: 41
NT_187665.1: 3
NT_187666.1: 4
NW_003571055.2: 38
NW_004504305.1: 9
NT_187667.1: 4
NT_187678.1: 9
NT_187679.1: 10
NT_167245.2: 331
NT_187680.1: 8
NT_187681.1: 6
NW_003571056.2: 27
NT_187682.1: 12
NT_187688.1: 9
NT_167246.2: 311
NW_003571057.2: 27
NT_187689.1: 10
NT_167247.2: 316
NW_003571058.2: 25
NT_187690.1: 10
NT_167248.2: 336
NW_003571059.2: 29
NT_187691.1: 9
NT_167249.2: 325
NW_003571060.1: 61
NT_187692.1: 4
NW_003571061.2: 43
NT_187693.1: 66
NT_187636.1: 17
NT_187637.1: 11
NT_187638.1: 10
NT_187639.1: 12
NT_187640.1: 14
NT_187641.1: 15
NT_187642.1: 9
NT_187643.1: 11
NT_187644.1: 11
NT_187645.1: 11
NT_187668.1: 14
NT_187669.1: 11
NT_187670.1: 12
NT_187671.1: 13
NT_187672.1: 9
NT_187673.1: 11
NT_187674.1: 14
NT_187675.1: 19
NT_187676.1: 13
NT_187677.1: 11
NT_187683.1: 13
NT_187684.1: 13
NT_187685.1: 12
NT_187686.1: 15
NT_187687.1: 11
NT_113949.2: 11
NC_012920.1: 37
total count 54099/60959
This is the end.


let seqidArray = [];
let count = [];
let totalCount = 0;
let flag = false;

gff.parseFile('/Users/ziyizhang/Desktop/Joint Institude/BioStatistics/3D_Genome/data/ref_GRCh38.p12_top_level.gff3', { parseAll: true })
.on('data', data => {
  if (data.directive) {
    //console.log('got a directive',data)
  }
  else if (data.comment) {
    //console.log('got a comment',data)
  }
  else if (data.sequence) {
    //console.log('got a sequence from a FASTA section')
  }
  else {
      if (data[0]["type"] == "gene" || data[0]["type"] == "pseudogene") {

      flag = false;
      for (let i=0; i<seqidArray.length; i++) {

          if (seqidArray[i] == data[0]["seq_id"]) {

              flag = true;
              count[i]++;
              totalCount++;
              break;
          }
      }
      if (flag == false) {

          seqidArray.push(data[0]["seq_id"]);
          count[count.length] = 1;
          totalCount++;
      }

      }
  }
})
.on("end", function () {
    console.log(">>>>>>>>>> seqidArray");
    for (let i=0; i<seqidArray.length; i++) {

        console.log(seqidArray[i] + ": " + String(count[i]) );
    }

    console.log("total count" + String(totalCount));
    console.log("This is the end.");
});
